province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,ward,theme,variable,value
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,school attendance,oos_ever_attended_school_female,2
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,school attendance,oos_never_attended_school_male,23
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,school attendance,oos_never_attended_school_female,14
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,school attendance,currently_attending_school_total_pc,62.83
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,school attendance,currently_attending_school_male_pc,57.38
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,school attendance,currently_attending_school_female_pc,69.23
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,school attendance,oos_ever_attended_school_total_pc,4.42
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,school attendance,oos_ever_attended_school_male_pc,4.92
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,school attendance,oos_ever_attended_school_female_pc,3.85
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,school attendance,oos_never_attended_school_total_pc,32.74
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,school attendance,oos_never_attended_school_male_pc,37.7
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,school attendance,oos_never_attended_school_female_pc,26.92
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,adult literacy,population_15plus_total,647
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,adult literacy,population_15plus_male,328
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,adult literacy,population_15plus_female,319
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,demographics,literate_population_total,251
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,demographics,literate_population_male,142
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,demographics,literate_population_female,109
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,adult literacy,literacy_rate_total,38.79
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,adult literacy,literacy_rate_male,43.29
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,adult literacy,literacy_rate_female,34.17
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,dependency ratios,population_0_14,179
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,dependency ratios,population_15_64,544
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,dependency ratios,population_65plus,103
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,dependency ratios,child_dependency_ratio,32.9
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,dependency ratios,elderly_dependency_ratio,18.93
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,dependency ratios,total_dependency_ratio,51.84
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,education level,population_5plus_total,737
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,education level,population_5plus_male,380
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,education level,population_5plus_female,357
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,adult literacy,education_level_illiterate_male,208
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,adult literacy,education_level_illiterate_female,224
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,education level,education_level_early_childhood_male,9
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,education level,education_level_early_childhood_female,7
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,education level,education_level_basic_level_male,102
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,education level,education_level_basic_level_female,59
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,education level,education_level_secondary_male,58
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,education level,education_level_secondary_female,59
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,education level,education_level_higher_education_male,1
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,education level,education_level_higher_education_female,5
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,education level,education_level_other_male,2
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,education level,education_level_other_female,3
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,adult literacy,education_level_illiterate_pc_total,58.62
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,adult literacy,education_level_illiterate_pc_male,54.74
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,adult literacy,education_level_illiterate_pc_female,62.75
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,education level,education_level_early_childhood_pc_total,2.17
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,education level,education_level_early_childhood_pc_male,2.37
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,education level,education_level_early_childhood_pc_female,1.96
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,education level,education_level_basic_level_pc_total,21.85
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,education level,education_level_basic_level_pc_male,26.84
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,education level,education_level_basic_level_pc_female,16.53
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,education level,education_level_secondary_pc_total,15.88
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,education level,education_level_secondary_pc_male,15.26
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,education level,education_level_secondary_pc_female,16.53
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,education level,education_level_higher_education_pc_total,0.81
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,education level,education_level_higher_education_pc_male,0.26
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,1,education level,education_level_higher_education_pc_female,1.4
