province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,total_households,population_total,population_male,population_female,average_household_size,sex_ratio,total_population_10_years_and_older,male_population_10_years_and_older,female_population_10_years_and_older,total_usually_economically_active_employed,male_usually_economically_active_employed,female_usually_economically_active_employed,total_usually_economically_active_unemployed,male_usually_economically_active_unemployed,female_usually_economically_active_unemployed,total_not_usually_economically_active,male_not_usually_economically_active,female_not_usually_economically_active,total_not_economically_active,male_not_economically_active,female_not_economically_active,total_economic_activity_not_stated,male_economic_activity_not_stated,female_economic_activity_not_stated,total_all_ages,total_00_04_yrs,total_05_09_yrs,total_10_14_yrs,total_15_19_yrs,total_20_24_yrs,total_25_29_yrs,total_30_34_yrs,total_35_39_yrs,total_40_44_yrs,total_45_49_yrs,total_50_54_yrs,total_55_59_yrs,total_60_64_yrs,total_65_69_yrs,total_70_74_yrs,total_75_79_yrs,total_80_84_yrs,total_85_89_yrs,total_90_94_yrs,total_95plus_yrs,male_all_ages,male_00_04_yrs,male_05_09_yrs,male_10_14_yrs,male_15_19_yrs,male_20_24_yrs,male_25_29_yrs,male_30_34_yrs,male_35_39_yrs,male_40_44_yrs,male_45_49_yrs,male_50_54_yrs,male_55_59_yrs,male_60_64_yrs,male_65_69_yrs,male_70_74_yrs,male_75_79_yrs,male_80_84_yrs,male_85_89_yrs,male_90_94_yrs,male_95plus_yrs,female_all_ages,female_00_04_yrs,female_05_09_yrs,female_10_14_yrs,female_15_19_yrs,female_20_24_yrs,female_25_29_yrs,female_30_34_yrs,female_35_39_yrs,female_40_44_yrs,female_45_49_yrs,female_50_54_yrs,female_55_59_yrs,female_60_64_yrs,female_65_69_yrs,female_70_74_yrs,female_75_79_yrs,female_80_84_yrs,female_85_89_yrs,female_90_94_yrs,female_95plus_yrs,total_children_5_17,male_children_5_17,female_children_5_17,currently_attending_school_male,currently_attending_school_female,oos_ever_attended_school_male,oos_ever_attended_school_female,oos_never_attended_school_male,oos_never_attended_school_female,currently_attending_school_total_pc,currently_attending_school_male_pc,currently_attending_school_female_pc,oos_ever_attended_school_total_pc,oos_ever_attended_school_male_pc,oos_ever_attended_school_female_pc,oos_never_attended_school_total_pc,oos_never_attended_school_male_pc,oos_never_attended_school_female_pc,population_15plus_total,population_15plus_male,population_15plus_female,literate_population_total,literate_population_male,literate_population_female,literacy_rate_total,literacy_rate_male,literacy_rate_female,population_0_14,population_15_64,population_65plus,child_dependency_ratio,elderly_dependency_ratio,total_dependency_ratio,population_5plus_total,population_5plus_male,population_5plus_female,education_level_illiterate_male,education_level_illiterate_female,education_level_early_childhood_male,education_level_early_childhood_female,education_level_basic_level_male,education_level_basic_level_female,education_level_secondary_male,education_level_secondary_female,education_level_higher_education_male,education_level_higher_education_female,education_level_other_male,education_level_other_female,education_level_illiterate_pc_total,education_level_illiterate_pc_male,education_level_illiterate_pc_female,education_level_early_childhood_pc_total,education_level_early_childhood_pc_male,education_level_early_childhood_pc_female,education_level_basic_level_pc_total,education_level_basic_level_pc_male,education_level_basic_level_pc_female,education_level_secondary_pc_total,education_level_secondary_pc_male,education_level_secondary_pc_female,education_level_higher_education_pc_total,education_level_higher_education_pc_male,education_level_higher_education_pc_female,education_level_other_pc_total,education_level_other_pc_male,education_level_other_pc_female,population_urban,population_peri_urban,population_rural,population_pc_urban,population_pc_peri_urban,population_pc_rural,population_20_24_total,population_20_24_male,population_20_24_female,population_married_before_18_total,population_married_before_18_male,population_married_before_18_female,child_marriage_rate_total,child_marriage_rate_male,child_marriage_rate_female,total_population,population_with_disabilities,population_without_disabilities,population_disability_not_reported,disability_prevlance_rate,population_density
Bagmati,Nuwakot,Panchakanya,NP03,NP0328,NP0328407,3600,13818,6747,7071,3.8383333333333334,95.41790411540093,11850,5709,6141,6280,3366,2914,141,63,78,2742,1086,1656,2671,1189,1482,16,5,11,13818,883,1085,1234,1215,1075,1035,926,953,906,833,856,663,658,530,408,284,138,100,26,10,6747,460,578,613,600,475,511,413,444,423,386,423,338,338,259,205,144,73,48,11,5,7071,423,507,621,615,600,524,513,509,483,447,433,325,320,271,203,140,65,52,15,5,3057,1564,1493,1445,1419,103,55,15,17,93.69,92.39,95.04,5.17,6.59,3.68,1.05,0.96,1.14,10616,5096,5520,6592,3704,2888,62.09,72.68,52.32,3202,9120,1496,35.11,16.4,51.51,12935,6287,6648,1405,2645,175,126,2756,2083,1602,1409,169,157,180,228,31.31,22.35,39.79,2.33,2.78,1.9,37.41,43.84,31.33,23.28,25.48,21.19,2.52,2.69,2.36,3.15,2.86,3.43,0,3777,10041,0,27.33,72.67,1075,475,600,165,29,136,15.35,6.11,22.67,13818,459,13359,0,3.32,NA
Bagmati,Nuwakot,Shivapuri,NP03,NP0328,NP0328410,4925,17203,8222,8981,3.492994923857868,91.54882529785102,14867,7060,7807,7589,4024,3565,291,164,127,3920,1548,2372,3065,1323,1742,2,1,1,17203,1091,1245,1484,1437,1428,1285,1069,1056,1043,944,1120,961,1010,734,562,388,207,84,35,20,8222,553,609,730,669,647,622,505,478,473,429,541,474,499,390,267,184,91,41,13,7,8981,538,636,754,768,781,663,564,578,570,515,579,487,511,344,295,204,116,43,22,13,3635,1772,1863,1603,1733,123,90,46,40,91.77,90.46,93.02,5.86,6.94,4.83,2.37,2.6,2.15,13383,6330,7053,7361,3985,3376,55,62.95,47.87,3820,11353,2030,33.65,17.88,51.53,16112,7669,8443,2396,3720,167,151,3032,2552,1622,1589,179,150,273,281,37.96,31.24,44.06,1.97,2.18,1.79,34.66,39.54,30.23,19.93,21.15,18.82,2.04,2.33,1.78,3.44,3.56,3.33,0,0,17203,0,0,100,1428,647,781,204,58,146,14.29,8.96,18.69,17203,498,16705,0,2.89,NA
Bagmati,Nuwakot,Shivapuri,NP03,NP0328,NP0328596,4925,17203,8222,8981,3.492994923857868,91.54882529785102,14867,7060,7807,7589,4024,3565,291,164,127,3920,1548,2372,3065,1323,1742,2,1,1,17203,1091,1245,1484,1437,1428,1285,1069,1056,1043,944,1120,961,1010,734,562,388,207,84,35,20,8222,553,609,730,669,647,622,505,478,473,429,541,474,499,390,267,184,91,41,13,7,8981,538,636,754,768,781,663,564,578,570,515,579,487,511,344,295,204,116,43,22,13,3635,1772,1863,1603,1733,123,90,46,40,91.77,90.46,93.02,5.86,6.94,4.83,2.37,2.6,2.15,13383,6330,7053,7361,3985,3376,55,62.95,47.87,3820,11353,2030,33.65,17.88,51.53,16112,7669,8443,2396,3720,167,151,3032,2552,1622,1589,179,150,273,281,37.96,31.24,44.06,1.97,2.18,1.79,34.66,39.54,30.23,19.93,21.15,18.82,2.04,2.33,1.78,3.44,3.56,3.33,0,0,17203,0,0,100,1428,647,781,204,58,146,14.29,8.96,18.69,17203,498,16705,0,2.89,NA
Bagmati,Nuwakot,Kakani,NP03,NP0328,NP0328409,6312,24504,12087,12417,3.88212927756654,97.34235322541677,20743,10126,10617,10672,5851,4821,478,247,231,3920,1563,2357,5591,2416,3175,82,49,33,24504,1870,1891,2118,2310,2202,2050,1828,1749,1557,1360,1473,1036,1032,730,564,399,197,89,29,20,12087,994,967,1063,1155,1064,976,899,812,756,642,697,512,531,393,260,207,100,37,11,11,12417,876,924,1055,1155,1138,1074,929,937,801,718,776,524,501,337,304,192,97,52,18,9,5391,2703,2688,2501,2515,164,136,37,36,93.04,92.53,93.56,5.56,6.07,5.06,1.35,1.37,1.34,18625,9063,9562,11770,6696,5074,63.19,73.88,53.06,5879,16597,2028,35.42,12.22,47.64,22634,11093,11541,2410,4538,270,234,5273,3876,2670,2402,259,266,211,225,30.7,21.73,39.32,2.23,2.43,2.03,40.42,47.53,33.58,22.41,24.07,20.81,2.32,2.33,2.3,1.93,1.9,1.95,0,13936,10568,0,56.87,43.13,2202,1064,1138,321,71,250,14.58,6.67,21.97,24504,611,23892,1,2.49,NA
Bagmati,Kathmandu,Shankharapur,NP03,NP0327,NP0327307,7140,29318,14433,14885,4.106162464985994,96.96338595901915,25245,12314,12931,12622,7080,5542,831,444,387,3635,1428,2207,8128,3350,4778,29,12,17,29318,1872,2201,2316,2654,2744,2633,2617,2356,2091,1778,1687,1202,1027,807,565,431,175,115,35,12,14433,987,1132,1179,1335,1371,1287,1248,1132,1029,863,807,602,476,393,259,189,75,47,18,4,14885,885,1069,1137,1319,1373,1346,1369,1224,1062,915,880,600,551,414,306,242,100,68,17,8,6038,3087,2951,2891,2829,157,101,38,21,94.73,93.65,95.87,4.27,5.09,3.42,0.98,1.23,0.71,22929,11135,11794,17480,9504,7976,76.24,85.35,67.63,6389,20789,2140,30.73,10.29,41.03,27446,13446,14000,1665,3837,446,371,5197,4355,4972,4258,843,709,323,470,20.05,12.38,27.41,2.98,3.32,2.65,34.8,38.65,31.11,33.63,36.98,30.41,5.65,6.27,5.06,2.89,2.4,3.36,9271,12456,7591,31.62,42.49,25.89,2744,1371,1373,240,57,183,8.75,4.16,13.33,29318,486,28831,1,1.66,NA
Bagmati,Kathmandu,Kageshwori Manahara,NP03,NP0327,NP0327306,33764,130433,65031,65402,3.8630790190735693,99.43273905996759,111110,54564,56546,44815,28688,16127,4473,2127,2346,16196,5743,10453,45559,17977,27582,67,29,38,130433,9153,10170,9876,11870,13340,13825,13166,11515,9663,7059,6313,4255,3500,2568,1782,1252,577,368,119,62,65031,4994,5473,5351,6263,6431,6402,6060,5476,4795,3564,3197,2152,1737,1249,824,576,255,162,49,21,65402,4159,4697,4525,5607,6909,7423,7106,6039,4868,3495,3116,2103,1763,1319,958,676,322,206,70,41,26704,14303,12401,13719,11944,419,341,162,113,96.1,95.92,96.31,2.85,2.93,2.75,1.03,1.13,0.91,101234,49213,52021,87456,45811,41645,86.39,93.09,80.05,29199,94506,6728,30.9,7.12,38.02,121280,60037,61243,3550,10496,1947,1715,18385,16721,25563,23206,9810,7780,782,1325,11.58,5.91,17.14,3.02,3.24,2.8,28.95,30.62,27.3,40.21,42.58,37.89,14.5,16.34,12.7,1.74,1.3,2.16,123638,6795,0,94.79,5.21,0,13340,6431,6909,792,139,653,5.94,2.16,9.45,130433,2045,128386,2,1.57,NA
Bagmati,Kathmandu,Gokarneshwor,NP03,NP0327,NP0327304,39771,149366,73235,76131,3.7556511025621684,96.19603052632961,127545,61534,66011,53048,32464,20584,4983,2530,2453,17931,6410,11521,51494,20089,31405,89,41,48,149366,10222,11599,11979,15310,16394,15669,14373,13136,10792,8114,7060,4542,3561,2419,1829,1250,625,328,131,33,73235,5465,6236,6429,7726,7775,7097,6562,6134,5281,3990,3566,2259,1722,1196,791,537,269,146,43,11,76131,4757,5363,5550,7584,8619,8572,7811,7002,5511,4124,3494,2283,1839,1223,1038,713,356,182,88,22,32068,16948,15120,15842,14272,853,659,245,185,93.91,93.47,94.39,4.71,5.03,4.36,1.34,1.45,1.22,115566,55105,60461,95785,49618,46167,82.88,90.04,76.36,33800,108951,6615,31.02,6.07,37.09,139144,67770,71374,5682,14438,2456,2019,24196,21399,27476,25938,6711,5756,1249,1824,14.46,8.38,20.23,3.22,3.62,2.83,32.77,35.7,29.98,38.39,40.54,36.34,8.96,9.9,8.06,2.21,1.84,2.56,134685,6809,7872,90.17,4.56,5.27,16394,7775,8619,1141,233,908,6.96,3,10.53,149366,2621,146738,7,1.75,NA
Bagmati,Kathmandu,Budhanilkhantha,NP03,NP0327,NP0327303,46930,177557,87337,90220,3.7834434263797143,96.80447794280647,153837,74579,79258,61537,38753,22784,6741,3299,3442,20870,7330,13540,64533,25108,39425,156,89,67,177557,10883,12837,13346,16305,18732,18541,17199,15670,13412,10247,9181,6269,5078,3804,2583,1682,913,559,218,98,87337,5786,6972,7093,8548,8965,8512,7829,7302,6504,4996,4659,3177,2455,1896,1225,673,395,233,85,32,90220,5097,5865,6253,7757,9767,10029,9370,8368,6908,5251,4522,3092,2623,1908,1358,1009,518,326,133,66,35392,18945,16447,18168,15804,579,475,195,167,95.99,95.9,96.09,2.98,3.06,2.89,1.02,1.03,1.02,140491,67486,73005,123775,63243,60532,88.1,93.71,82.91,37066,130634,9857,28.37,7.55,35.92,166674,81551,85123,4462,12662,2509,2142,23869,22450,34675,33749,15061,12332,975,1788,10.27,5.47,14.87,2.79,3.08,2.52,27.79,29.27,26.37,41.05,42.52,39.65,16.44,18.47,14.49,1.66,1.2,2.1,170125,7432,0,95.81,4.19,0,18732,8965,9767,1026,182,844,5.48,2.03,8.64,177557,2511,175033,13,1.41,NA
Bagmati,Kathmandu,Tokha,NP03,NP0327,NP0327302,37025,133755,66532,67223,3.612559081701553,98.97207800901478,116012,56831,59181,47022,29813,17209,3901,1896,2005,15837,5677,10160,49162,19398,29764,90,47,43,133755,8129,9614,10020,13179,15224,14373,13029,11690,10226,7776,6468,4339,3352,2377,1644,1129,631,349,151,55,66532,4367,5334,5432,7012,7353,6702,5970,5357,4906,3939,3423,2236,1661,1133,746,470,266,153,55,17,67223,3762,4280,4588,6167,7871,7671,7059,6333,5320,3837,3045,2103,1691,1244,898,659,365,196,96,38,26740,14552,12188,13909,11745,504,328,133,112,95.94,95.58,96.37,3.11,3.46,2.69,0.92,0.91,0.92,105992,51399,54593,94989,48758,46231,89.62,94.86,84.68,27763,99656,6336,27.86,6.36,34.22,125626,62165,63461,2760,8474,1916,1462,17620,16379,27392,26308,11673,9424,804,1414,8.94,4.44,13.35,2.69,3.08,2.3,27.06,28.34,25.81,42.75,44.06,41.46,16.79,18.78,14.85,1.77,1.29,2.23,120879,12876,0,90.37,9.63,0,15224,7353,7871,731,131,600,4.8,1.78,7.62,133755,1870,131883,2,1.4,NA
Bagmati,Kathmandu,Tarakeshwor,NP03,NP0327,NP0327301,41362,151479,75281,76198,3.6622745515207193,98.79655634006141,129507,63182,66325,42084,29115,12969,3110,1740,1370,20062,6894,13168,64251,25433,38818,0,0,0,151479,10103,11869,12040,14793,17637,16979,15591,13434,10824,7594,6826,4290,3332,2295,1626,1134,585,347,124,56,75281,5567,6532,6343,7724,8270,7756,7064,6373,5462,3949,3564,2209,1638,1096,748,475,281,152,62,16,76198,4536,5337,5697,7069,9367,9223,8527,7061,5362,3645,3262,2081,1694,1199,878,659,304,195,62,40,31909,17121,14788,16508,14352,457,335,156,101,96.71,96.42,97.05,2.48,2.67,2.27,0.81,0.91,0.68,117467,56839,60628,100649,52473,48176,85.68,92.32,79.46,34012,111300,6167,30.56,5.54,36.1,141376,69714,71662,4575,12622,2231,1763,20523,18603,30688,27754,10346,9013,1351,1907,12.16,6.56,17.61,2.83,3.2,2.46,27.68,29.44,25.96,41.34,44.02,38.73,13.69,14.84,12.58,2.3,1.94,2.66,124607,26872,0,82.26,17.74,0,17637,8270,9367,973,151,822,5.52,1.83,8.78,151479,2266,149213,0,1.5,NA
Bagmati,Kathmandu,Nagarjun,NP03,NP0327,NP0327305,31301,115437,57596,57841,3.6879652407271335,99.57642502722982,99809,49058,50751,37245,25086,12159,2205,1092,1113,14639,4964,9675,45720,17916,27804,0,0,0,115437,7228,8400,8411,10236,12016,12316,11641,10338,8914,6542,5959,4039,3189,2349,1686,1089,563,347,120,54,57596,3913,4625,4471,5391,5764,5748,5399,4985,4395,3388,3071,2075,1567,1100,776,451,252,155,54,16,57841,3315,3775,3940,4845,6252,6568,6242,5353,4519,3154,2888,1964,1622,1249,910,638,311,192,66,38,22371,12034,10337,11610,10030,349,249,75,58,96.73,96.48,97.03,2.67,2.9,2.41,0.59,0.62,0.56,91398,44587,46811,79879,41781,38098,87.4,93.71,81.39,24039,85190,6208,28.22,7.29,35.51,108209,53683,54526,2937,8800,1619,1224,14931,13475,21857,20345,11110,8871,1229,1811,10.85,5.47,16.14,2.63,3.02,2.24,26.25,27.81,24.71,39,40.71,37.31,18.47,20.7,16.27,2.81,2.29,3.32,111889,3548,0,96.93,3.07,0,12016,5764,6252,543,86,457,4.52,1.49,7.31,115437,1569,113868,0,1.36,NA
Bagmati,Kathmandu,Kathmandu,NP03,NP0327,NP0327101,238966,862400,438256,424144,3.6088815982189937,103.32717190388169,767490,386880,380610,302168,203746,98422,19510,10107,9403,104337,36802,67535,341475,136225,205250,0,0,0,862400,42541,52369,57082,81945,95801,88219,79255,73235,67323,53890,49861,35330,28448,20893,15161,10378,5835,3144,1209,481,438256,22860,28516,30804,44523,49370,43149,38173,35342,33172,27513,25899,18423,14254,10269,7060,4647,2448,1196,468,170,424144,19681,23853,26278,37422,46431,45070,41082,37893,34151,26377,23962,16907,14194,10624,8101,5731,3387,1948,741,311,152699,82722,69977,79357,67874,2549,1543,816,560,96.42,95.93,96.99,2.68,3.08,2.21,0.9,0.99,0.8,710408,356076,354332,634329,335218,299111,89.29,94.14,84.42,151992,653307,57101,23.27,8.74,32.01,819859,415396,404463,21997,56120,9256,7400,99528,87910,173325,159545,103162,81666,8128,11822,9.53,5.3,13.88,2.03,2.23,1.83,22.86,23.96,21.73,40.6,41.73,39.45,22.54,24.83,20.19,2.43,1.96,2.92,862400,0,0,100,0,0,95801,49370,46431,3145,521,2624,3.28,1.06,5.65,862400,11969,850431,0,1.39,NA
Bagmati,Kathmandu,Kirtipur,NP03,NP0327,NP0327309,24150,81578,43247,38331,3.3779710144927537,112.82512848608177,71984,37986,33998,27125,18472,8653,3162,1793,1369,10329,4053,6276,31368,13668,17700,0,0,0,81578,4437,5157,5335,7538,10398,9735,7737,6556,5973,4507,4301,2917,2234,1703,1257,895,478,287,109,24,43247,2389,2872,2986,4368,5958,5272,3846,3208,3097,2260,2252,1516,1084,820,576,367,208,111,47,10,38331,2048,2285,2349,3170,4440,4463,3891,3348,2876,2247,2049,1401,1150,883,681,528,270,176,62,14,14522,8181,6341,7915,6184,202,114,64,43,97.09,96.75,97.52,2.18,2.47,1.8,0.74,0.78,0.68,66649,35000,31649,58212,33074,25138,87.34,94.5,79.43,14929,61896,4753,24.12,7.68,31.8,77141,40858,36283,2068,6606,951,725,9610,7824,16037,12159,11545,7911,647,1058,11.24,5.06,18.21,2.17,2.33,2,22.6,23.52,21.56,36.55,39.25,33.51,25.22,28.26,21.8,2.21,1.58,2.92,81578,0,0,100,0,0,10398,5958,4440,341,69,272,3.28,1.16,6.13,81578,1286,80292,0,1.58,NA
Bagmati,Kathmandu,Chandragiri,NP03,NP0327,NP0327308,35994,136860,68303,68557,3.802300383397233,99.62950537508934,117692,57952,59740,43474,30123,13351,4027,2121,1906,16694,5541,11153,53497,20167,33330,0,0,0,136860,8901,10267,10814,11982,13467,14128,13656,12074,10799,7954,7469,4820,3632,2562,1834,1244,657,370,154,76,68303,4778,5573,5866,6294,6549,6528,6280,5669,5350,3984,3959,2485,1811,1258,845,531,282,162,66,33,68557,4123,4694,4948,5688,6918,7600,7376,6405,5449,3970,3510,2335,1821,1304,989,713,375,208,88,43,27682,14909,12773,14277,12343,504,310,128,120,96.16,95.76,96.63,2.94,3.38,2.43,0.9,0.86,0.94,106878,52086,54792,90940,48114,42826,85.09,92.37,78.16,29982,99981,6897,29.99,6.9,36.89,127959,63525,64434,4154,12139,2000,1631,20518,17443,25872,23445,9730,7870,1251,1906,12.73,6.54,18.84,2.84,3.15,2.53,29.67,32.3,27.07,38.54,40.73,36.39,13.75,15.32,12.21,2.47,1.97,2.96,124245,12615,0,90.78,9.22,0,13467,6549,6918,906,165,741,6.73,2.52,10.71,136860,2352,134508,0,1.72,NA
Bagmati,Kathmandu,Dakshinkali,NP03,NP0327,NP0327310,6489,26372,12955,13417,4.0641084912929575,96.5566072892599,22932,11156,11776,9975,6081,3894,855,444,411,3718,1345,2373,8384,3286,5098,0,0,0,26372,1599,1841,2008,2196,2250,2464,2561,2357,2073,1542,1482,1112,999,716,531,340,146,112,29,14,12955,807,992,1050,1136,1087,1161,1175,1156,1020,749,712,544,480,350,250,150,62,58,11,5,13417,792,849,958,1060,1163,1303,1386,1201,1053,793,770,568,519,366,281,190,84,54,18,9,5101,2686,2415,2546,2317,110,76,30,22,95.33,94.79,95.94,3.65,4.1,3.15,1.02,1.12,0.91,20924,10106,10818,16109,8805,7304,76.99,87.13,67.52,5448,19036,1888,28.62,9.92,38.54,24773,12148,12625,1378,3580,311,242,4555,3575,4376,3682,1084,988,444,558,20.01,11.34,28.36,2.23,2.56,1.92,32.82,37.5,28.32,32.53,36.02,29.16,8.36,8.92,7.83,4.04,3.65,4.42,1803,21639,2930,6.84,82.05,11.11,2250,1087,1163,170,32,138,7.56,2.94,11.87,26372,661,25711,0,2.51,NA
Bagmati,Bhaktapur,Changunarayan,NP03,NP0326,NP0326302,21588,88083,43674,44409,4.080183435241801,98.34493008174019,75288,36743,38545,34813,20510,14303,2881,1389,1492,11942,4307,7635,25605,10523,15082,47,14,33,88083,6072,6723,7012,7650,8294,8574,8267,7687,6760,5173,4648,3348,2656,1971,1402,1024,468,245,78,31,43674,3250,3681,3658,4006,4112,4066,3785,3635,3285,2561,2349,1687,1229,908,619,463,223,111,30,16,44409,2822,3042,3354,3644,4182,4508,4482,4052,3475,2612,2299,1661,1427,1063,783,561,245,134,48,15,18159,9641,8518,9223,8180,332,245,86,92,95.84,95.66,96.03,3.18,3.44,2.88,0.98,0.89,1.08,68276,33085,35191,55538,30006,25532,81.34,90.69,72.55,19807,63057,5219,31.41,8.28,39.69,82011,40424,41587,3157,9738,1386,1059,14336,12389,16865,13865,4029,3476,651,1060,15.72,7.81,23.42,2.98,3.43,2.55,32.59,35.46,29.79,37.47,41.72,33.34,9.15,9.97,8.36,2.09,1.61,2.55,48418,39665,0,54.97,45.03,0,8294,4112,4182,562,98,464,6.78,2.38,11.1,88083,1327,86737,19,1.51,NA
Bagmati,Bhaktapur,Bhaktapur,NP03,NP0326,NP0326303,18987,79136,39755,39381,4.167904355611735,100.94969655417587,68913,34228,34685,35502,21551,13951,2230,1036,1194,8715,3016,5699,22403,8604,13799,63,21,42,79136,4948,5275,5449,6434,7417,8202,7465,6791,6106,5013,4772,3370,2415,1912,1358,1107,610,342,114,36,39755,2657,2870,2929,3444,3761,4052,3708,3356,2997,2498,2385,1626,1103,868,566,481,263,136,41,14,39381,2291,2405,2520,2990,3656,4150,3757,3435,3109,2515,2387,1744,1312,1044,792,626,347,206,73,22,14404,7755,6649,7304,6383,381,216,70,49,95.02,94.18,96,4.14,4.91,3.25,0.83,0.9,0.74,63464,31299,32165,53879,28872,25007,84.9,92.25,77.75,15672,57985,5479,27.03,9.45,36.48,74188,37098,37090,2485,7199,1069,847,12714,10112,15146,12794,4907,4422,777,1716,13.05,6.7,19.41,2.58,2.88,2.28,30.77,34.27,27.26,37.66,40.83,34.49,12.57,13.23,11.92,3.36,2.09,4.63,79136,0,0,100,0,0,7417,3761,3656,342,72,270,4.61,1.91,7.39,79136,998,78131,7,1.26,NA
Bagmati,Bhaktapur,Madhyapur Thimi,NP03,NP0326,NP0326301,31966,119756,60746,59010,3.7463555027216415,102.94187425860024,104350,52443,51907,47351,29746,17605,3067,1463,1604,13001,4718,8283,40852,16480,24372,79,36,43,119756,7471,7935,8323,10786,12933,12375,11678,10374,9384,7275,6626,4428,3384,2538,1737,1235,646,427,148,53,60746,4006,4297,4540,5762,6645,6028,5575,4957,4652,3646,3450,2309,1752,1258,808,544,273,174,55,15,59010,3465,3638,3783,5024,6288,6347,6103,5417,4732,3629,3176,2119,1632,1280,929,691,373,253,93,38,22162,12030,10132,11420,9674,490,347,120,110,95.18,94.93,95.48,3.78,4.07,3.42,1.04,1,1.09,96027,47903,48124,85242,45119,40123,88.77,94.19,83.37,23729,89243,6784,26.59,7.6,34.19,112285,56740,55545,2884,8092,1446,1285,16290,14073,23047,21048,12220,9343,853,1704,9.78,5.08,14.57,2.43,2.55,2.31,27.04,28.71,25.34,39.27,40.62,37.89,19.2,21.54,16.82,2.28,1.5,3.07,119756,0,0,100,0,0,12933,6645,6288,617,136,481,4.77,2.05,7.65,119756,1380,118373,3,1.15,NA
Bagmati,Bhaktapur,Suryabinayak,NP03,NP0326,NP0326304,35865,140085,69915,70170,3.905897114178168,99.63659683625481,120498,59188,61310,53861,32975,20886,3632,1829,1803,16506,5699,10807,46408,18647,27761,91,38,53,140085,9504,10083,10177,11925,13672,14453,13508,12191,10734,8602,7853,5311,4179,2985,2034,1545,728,409,134,58,69915,5149,5578,5508,6269,6710,6743,6345,5787,5150,4319,4022,2673,2052,1445,917,674,322,172,60,20,70170,4355,4505,4669,5656,6962,7710,7163,6404,5584,4283,3831,2638,2127,1540,1117,871,406,237,74,38,27004,14666,12338,13979,11843,535,375,151,120,95.62,95.32,95.99,3.37,3.65,3.04,1,1.03,0.97,110321,53680,56641,95734,50537,45197,86.78,94.14,79.8,29764,102428,7893,29.06,7.71,36.76,130581,64766,65815,3304,11549,2084,1611,19356,17198,27708,24622,11409,8902,905,1933,11.37,5.1,17.55,2.83,3.22,2.45,27.99,29.89,26.13,40.07,42.78,37.41,15.55,17.62,13.53,2.17,1.4,2.94,140085,0,0,100,0,0,13672,6710,6962,774,174,600,5.66,2.59,8.62,140085,2136,137946,3,1.52,NA
Bagmati,Lalitpur,Mahalaxmi,NP03,NP0325,NP0325302,32106,123116,62399,60717,3.8346726468572854,102.77022909564042,106944,53694,53250,44600,28906,15694,3580,1840,1740,14106,5160,8946,44511,17715,26796,147,73,74,123116,7617,8555,8889,11012,13202,12804,11769,10579,9672,7369,6752,4468,3640,2686,1767,1185,655,340,105,50,62399,4107,4598,4929,5946,6834,6220,5561,5000,4808,3723,3532,2301,1755,1307,808,480,284,148,39,19,60717,3510,3957,3960,5066,6368,6584,6208,5579,4864,3646,3220,2167,1885,1379,959,705,371,192,66,31,23552,12815,10737,12150,10281,492,326,173,129,95.24,94.81,95.75,3.47,3.84,3.04,1.28,1.35,1.2,98055,48765,49290,86831,46113,40718,88.55,94.56,82.61,25061,91267,6788,27.46,7.44,34.9,115499,58292,57207,2812,8698,1629,1358,16659,15171,24734,21923,11752,8693,706,1364,9.97,4.82,15.2,2.59,2.79,2.37,27.56,28.58,26.52,40.4,42.43,38.32,17.7,20.16,15.2,1.79,1.21,2.38,122173,0,943,99.23,0,0.77,13202,6834,6368,672,130,542,5.09,1.9,8.51,123116,1590,121514,12,1.29,NA
Bagmati,Lalitpur,Lalitpur,NP03,NP0325,NP0325101,77159,294098,146730,147368,3.811583872263767,99.56707019162911,261160,129034,132126,114654,71753,42901,8887,4277,4610,32666,11782,20884,104771,41141,63630,182,81,101,294098,14864,18074,19994,25244,28765,27361,25977,25034,24474,20116,18518,13054,10423,7789,5901,4232,2325,1278,450,225,146730,8015,9681,10554,13351,14577,13174,12457,11566,11818,10080,9534,6634,5152,3721,2731,1877,1010,529,186,83,147368,6849,8393,9440,11893,14188,14187,13520,13468,12656,10036,8984,6420,5271,4068,3170,2355,1315,749,264,142,52289,27728,24561,26305,23576,1122,727,299,256,95.39,94.87,95.99,3.54,4.05,2.96,1.06,1.08,1.04,241166,118480,122686,213754,111315,102439,88.63,93.95,83.5,52932,218966,22200,24.17,10.14,34.31,279234,138715,140519,7454,20499,3344,2828,38489,34840,56282,52609,30943,25704,2203,4039,10.01,5.37,14.59,2.21,2.41,2.01,26.26,27.75,24.79,39,40.57,37.44,20.29,22.31,18.29,2.24,1.59,2.87,294098,0,0,100,0,0,28765,14577,14188,1258,288,970,4.37,1.98,6.84,294098,3711,290356,31,1.26,NA
