province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,ward,theme,variable,value
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,outer_wall_other,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,roof_galvanised_sheet,121
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,roof_reinforced_cement_concrete,35
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,roof_thatch_straw,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,roof_tile,2
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,roof_stone_slate,2
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,roof_wood_planks,3
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,roof_mud,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,roof_other,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,floor_mud,9
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,floor_wooden_plank_bamboo,8
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,floor_bricks_stone,1
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,floor_ceramic_tile,11
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,floor_cemented,133
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,housing,floor_other,1
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,drinking water,drinking_water_tap_piped_within_premises,145
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,drinking water,drinking_water_tap_piped_outside_premises,17
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,drinking water,drinking_water_tubewell_handpump,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,drinking water,drinking_water_covered_well_kuwa,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,drinking water,drinking_water_uncovered_well_kuwa,1
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,drinking water,drinking_water_spout_water,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,drinking water,drinking_water_river_stream,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,drinking water,drinking_water_jar_bottle,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,drinking water,drinking_water_other,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,cooking fuel,cooking_fuel_wood_firewood,8
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,cooking fuel,cooking_fuel_lpg,155
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,cooking fuel,cooking_fuel_electricity,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,cooking fuel,cooking_fuel_cowdung,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,cooking fuel,cooking_fuel_biogas,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,cooking fuel,cooking_fuel_kerosene,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,cooking fuel,cooking_fuel_other,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,lighting fuel,lighting_electricity,162
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,lighting fuel,lighting_solar,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,lighting fuel,lighting_kerosene,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,lighting fuel,lighting_biogas,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,lighting fuel,lighting_other,1
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,sanitation,toilet_flush_public_sewerage,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,sanitation,toilet_flush_septic_tank,46
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,sanitation,toilet_pit,115
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,sanitation,toilet_public,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,sanitation,toilet_no_toilet,2
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,household amenities,hh_amenities_without,25
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,household amenities,hh_amenities_at_least_one,138
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,household amenities,hh_amenities_radio,6
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,household amenities,hh_amenities_television,66
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,household amenities,hh_amenities_landline,41
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,household amenities,hh_amenities_mobile_phone_ordinary,132
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,household amenities,hh_amenities_mobile_phone_smart,108
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,household amenities,hh_amenities_computer_laptop,30
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,household amenities,hh_amenities_internet,86
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,household amenities,hh_amenities_car_jeep_van,12
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,household amenities,hh_amenities_motorcycle_scooter,46
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,household amenities,hh_amenities_bicycle,4
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,household amenities,hh_amenities_electric_fan,18
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,household amenities,hh_amenities_refridgerator,12
