district,adm2_pcode,municipality,adm3_pcode,ward,projection_2026_population_total,flash_appeal_affected,rdna_affected,impacted_buildings,average_household_size,population_pc_urban,improved_drinking_water_hhd,no_toilet_public_toilet_hhd,wealth_quintile_poorest_quintile_hhd,wealth_quintile_poorest_quintile_pc,Protection_individuals_reached,Health & Nutrition_individuals_reached,Shelter_individuals_reached,WASH_individuals_reached,Education_individuals_reached,Food Security_individuals_reached,NA_individuals_reached,Logistics_individuals_reached,ETC_individuals_reached,Early Recovery_individuals_reached
Dhading,NP0330,Benighat Rorang,NP0330408,8,2322,0,1,3,4.879518072289157,0,468,22,309,62.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dhading,NP0330,Benighat Rorang,NP0330408,9,3438,1,1,156,4.543949044585987,0,733,12,251,31.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dhading,NP0330,Benighat Rorang,NP0330408,10,4652,1,1,71,4.75269872423945,0,903,58,452,44.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dhading,NP0330,Siddhalek,NP0330407,3,2337,1,1,NA,3.8196480938416424,0,561,3,223,32.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dhading,NP0330,Siddhalek,NP0330407,4,2401,1,1,NA,3.916176470588235,0,669,3,44,6.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dhading,NP0330,Siddhalek,NP0330407,6,2700,1,1,118,4.061224489795919,0,549,38,189,25.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dhading,NP0330,Siddhalek,NP0330407,7,3731,1,1,110,4.150505050505051,0,843,8,82,8.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gorkha,NP0436,Gandaki,NP0436409,1,2038,1,1,84,3.740322580645161,0,253,12,120,19.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gorkha,NP0436,Gandaki,NP0436409,2,2742,1,1,NA,3.8355828220858896,0,733,5,116,14.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gorkha,NP0436,Gandaki,NP0436409,6,3195,1,1,80,4.48306148055207,0,736,0,201,25.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gorkha,NP0436,Gandaki,NP0436409,7,2479,1,1,NA,4.158753709198813,0,659,4,70,10.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gorkha,NP0436,Gandaki,NP0436409,8,2937,1,1,84,3.8558030480656504,0,818,12,44,5.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tanahu,NP0440,Devghat,NP0440406,4,1370,1,0,NA,3.940379403794038,0,310,13,225,60.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tanahu,NP0440,Devghat,NP0440406,5,6347,1,0,NA,3.6612729234088457,0,1722,46,105,5.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tanahu,NP0440,Aanbu Khaireni,NP0440405,4,1640,1,0,NA,3.7067510548523206,0,466,17,112,23.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tanahu,NP0440,Aanbu Khaireni,NP0440405,5,1402,1,0,NA,4.265536723163842,0,345,9,216,61.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gorkha,NP0436,Shahid Lakhan,NP0436408,2,2330,1,0,NA,3.9244444444444446,0,485,3,47,6.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gorkha,NP0436,Shahid Lakhan,NP0436408,3,2996,1,1,3,3.987283236994219,0,785,26,61,7.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gorkha,NP0436,Shahid Lakhan,NP0436408,4,2310,0,1,12,3.534506089309878,0,718,8,86,11.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gorkha,NP0436,Shahid Lakhan,NP0436408,5,1622,1,0,NA,3.5656370656370657,0,513,2,72,13.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gorkha,NP0436,Shahid Lakhan,NP0436408,6,2746,1,0,NA,3.262226847034339,0,778,10,238,24.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chitawan,NP0335,Ichchha Kamana,NP0335401,3,2678,1,1,80,4.0559610705596105,0,757,26,123,14.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chitawan,NP0335,Ichchha Kamana,NP0335401,4,3630,1,1,17,3.996450754214729,0,1115,13,42,3.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chitawan,NP0335,Ichchha Kamana,NP0335401,5,3041,0,1,3,4.168327796234773,0,785,24,110,12.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chitawan,NP0335,Ichchha Kamana,NP0335401,6,2575,0,1,NA,4.7675111773472425,0,642,71,421,62.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
