province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,ward,total_households,home_ownership_owned,home_ownership_rented,home_ownership_institutional,home_ownership_other,foundation_mud,foundation_mud_bonded_bricks_stone,foundation_cement_bonded_bricks_stone,foundation_reinforced_cement_concrete_with_pillars,foundation_wooden_pillars,outer_wall_mud_bonded_bricks_stone,outer_wall_cement_bonded_bricks_stone,outer_wall_wood_planks,outer_wall_bamboo,outer_wall_unbaked_bricks,outer_wall_galvanised_sheet,outer_wall_prefabricated_sheet,outer_wall_other,roof_galvanised_sheet,roof_reinforced_cement_concrete,roof_thatch_straw,roof_tile,roof_stone_slate,roof_wood_planks,roof_mud,roof_other,floor_mud,floor_wooden_plank_bamboo,floor_bricks_stone,floor_ceramic_tile,floor_cemented,floor_other,drinking_water_tap_piped_within_premises,drinking_water_tap_piped_outside_premises,drinking_water_tubewell_handpump,drinking_water_covered_well_kuwa,drinking_water_uncovered_well_kuwa,drinking_water_spout_water,drinking_water_river_stream,drinking_water_jar_bottle,drinking_water_other,cooking_fuel_wood_firewood,cooking_fuel_lpg,cooking_fuel_electricity,cooking_fuel_cowdung,cooking_fuel_biogas,cooking_fuel_kerosene,cooking_fuel_other,lighting_electricity,lighting_solar,lighting_kerosene,lighting_biogas,lighting_other,toilet_flush_public_sewerage,toilet_flush_septic_tank,toilet_pit,toilet_public,toilet_no_toilet,hh_amenities_without,hh_amenities_at_least_one,hh_amenities_radio,hh_amenities_television,hh_amenities_landline,hh_amenities_mobile_phone_ordinary,hh_amenities_mobile_phone_smart,hh_amenities_computer_laptop,hh_amenities_internet,hh_amenities_car_jeep_van,hh_amenities_motorcycle_scooter,hh_amenities_bicycle,hh_amenities_electric_fan,hh_amenities_refridgerator,hh_amenities_washing_machine,hh_amenities_air_conditioner,wealth_quintile_poorest_quintile_count,wealth_quintile_poorer_quintile_count,wealth_quintile_middle_quintile_count,wealth_quintile_richer_quintile_count,wealth_quintile_richest_quintile_count,wealth_quintile_poorest_quintile_pc,wealth_quintile_poorer_quintile_pc,wealth_quintile_middle_quintile_pc,wealth_quintile_richer_quintile_pc,wealth_quintile_richest_quintile_pc,house_quality_most_adequate_count,house_quality_adequate_count,house_quality_moderate_count,house_quality_inadequate_count,house_quality_least_adequate_count,house_quality_most_adequate_pc,house_quality_adequate_pc,house_quality_moderate_pc,house_quality_inadequate_pc,house_quality_least_adequate_pc
Bagmati,Dhading,Benighat Rorang,NP03,NP0330,NP0330408,5,766,671,82,11,2,102,408,251,3,2,83,668,6,1,1,7,0,0,362,381,0,1,21,0,0,1,86,13,12,5,644,6,205,482,3,0,21,55,0,0,0,205,552,8,0,0,0,1,748,9,3,0,6,12,226,518,5,5,23,743,221,407,43,585,632,97,223,21,179,85,448,285,31,2,43,52,216,296,159,5.61,6.79,28.2,38.64,20.76,274,390,94,7,1,35.77,50.91,12.27,0.91,0.13
Bagmati,Dhading,Benighat Rorang,NP03,NP0330,NP0330408,7,719,578,131,4,6,237,212,258,11,1,216,468,23,0,0,8,0,4,414,275,0,3,25,2,0,0,217,13,0,3,483,3,186,390,3,93,11,27,9,0,0,284,431,4,0,0,0,0,679,23,10,0,7,11,562,135,0,11,24,695,256,464,27,621,593,98,435,22,145,120,439,297,40,1,92,121,71,194,241,12.8,16.83,9.87,26.98,33.52,337,160,201,21,0,46.87,22.25,27.96,2.92,0
Bagmati,Dhading,Benighat Rorang,NP03,NP0330,NP0330408,9,785,701,75,7,2,422,140,216,7,0,419,358,5,1,0,2,0,0,515,258,2,0,9,1,0,0,396,17,11,1,357,3,417,311,0,5,22,29,1,0,0,492,269,0,0,24,0,0,742,22,17,2,2,9,696,68,4,8,118,667,252,372,5,494,411,39,79,13,129,14,298,189,9,2,251,161,98,167,108,31.97,20.51,12.48,21.27,13.76,254,126,387,17,1,32.36,16.05,49.3,2.17,0.13
Bagmati,Dhading,Benighat Rorang,NP03,NP0330,NP0330408,10,1019,986,27,3,3,785,138,91,5,0,775,235,6,2,0,0,0,1,830,138,2,0,47,2,0,0,686,14,7,4,308,0,201,697,1,4,28,82,6,0,0,712,292,6,0,8,0,1,948,58,4,1,8,45,535,381,10,48,165,854,193,360,3,681,508,22,39,8,69,5,114,79,3,3,452,265,161,104,37,44.36,26.01,15.8,10.21,3.63,117,220,627,54,1,11.48,21.59,61.53,5.3,0.1
Bagmati,Dhading,Gajuri,NP03,NP0330,NP0330409,1,1427,977,431,11,8,265,451,690,18,3,235,1171,9,2,0,7,0,3,532,838,2,0,50,2,0,3,218,11,6,22,1162,8,887,427,2,20,11,69,1,6,4,330,1094,0,0,0,2,1,1398,20,3,0,6,13,1279,82,1,52,44,1383,264,818,101,1005,1058,244,589,48,408,113,932,496,47,10,89,112,311,458,457,6.24,7.85,21.79,32.1,32.03,897,337,176,17,0,62.86,23.62,12.33,1.19,0
Bagmati,Dhading,Gajuri,NP03,NP0330,NP0330409,2,1034,855,172,3,4,360,356,294,15,9,349,656,6,6,0,8,0,9,588,367,8,0,63,0,0,8,338,42,1,6,646,1,419,479,4,31,50,8,40,3,0,502,514,2,0,10,3,3,1014,9,5,2,4,18,917,54,19,26,27,1007,389,549,9,826,581,75,213,15,216,24,448,283,30,1,213,126,253,253,189,20.6,12.19,24.47,24.47,18.28,392,301,316,18,7,37.91,29.11,30.56,1.74,0.68
Bagmati,Dhading,Gajuri,NP03,NP0330,NP0330409,5,955,899,56,0,0,365,403,157,22,8,333,555,11,4,0,17,0,35,541,273,3,1,137,0,0,0,311,6,3,2,628,5,276,616,13,3,10,24,0,12,1,558,383,1,0,13,0,0,930,20,0,0,5,7,724,209,0,15,59,896,397,486,4,734,633,75,292,13,181,21,338,162,17,2,126,185,307,221,116,13.19,19.37,32.15,23.14,12.15,213,420,298,24,0,22.3,43.98,31.2,2.51,0
Bagmati,Dhading,Gajuri,NP03,NP0330,NP0330409,6,1127,1055,65,2,5,415,614,75,21,2,371,719,7,2,2,19,3,4,771,292,2,2,60,0,0,0,328,11,4,7,760,17,496,442,5,17,17,139,3,8,0,643,477,4,0,3,0,0,936,181,1,1,8,10,979,73,4,61,148,979,419,604,45,859,682,40,455,27,119,71,284,97,0,1,189,144,326,352,116,16.77,12.78,28.93,31.23,10.29,350,426,290,61,0,31.06,37.8,25.73,5.41,0
Bagmati,Dhading,Galchhi,NP03,NP0330,NP0330410,1,879,869,5,1,4,484,191,189,13,2,416,445,9,1,0,8,0,0,648,176,3,0,51,0,0,1,278,7,19,0,561,14,386,300,1,1,22,162,3,0,4,564,291,3,0,20,1,0,861,11,2,0,5,17,439,391,6,26,30,849,264,533,7,770,630,31,269,8,135,17,379,162,1,3,163,218,209,187,102,18.54,24.8,23.78,21.27,11.6,194,280,338,65,2,22.07,31.85,38.45,7.39,0.23
Bagmati,Dhading,Galchhi,NP03,NP0330,NP0330410,2,782,774,5,1,2,346,302,125,6,3,354,417,7,2,0,1,0,1,602,156,1,0,22,1,0,0,229,21,7,2,518,5,419,272,1,2,4,83,1,0,0,572,205,1,0,4,0,0,755,24,2,0,1,4,736,22,4,16,24,758,279,393,5,694,391,31,248,2,89,68,232,83,0,2,116,181,267,152,66,14.83,23.15,34.14,19.44,8.44,158,365,250,9,0,20.2,46.68,31.97,1.15,0
