province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,ward,theme,rdna_affected,variable,value
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,household amenities,NA,hh_amenities_refridgerator,2
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,household amenities,NA,hh_amenities_washing_machine,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,household amenities,NA,hh_amenities_air_conditioner,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,wealth quintile,NA,wealth_quintile_poorest_quintile_count,60
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,wealth quintile,NA,wealth_quintile_poorer_quintile_count,75
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,wealth quintile,NA,wealth_quintile_middle_quintile_count,302
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,wealth quintile,NA,wealth_quintile_richer_quintile_count,64
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,wealth quintile,NA,wealth_quintile_richest_quintile_count,2
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,wealth quintile,NA,wealth_quintile_poorest_quintile_pc,11.93
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,wealth quintile,NA,wealth_quintile_poorer_quintile_pc,14.91
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,wealth quintile,NA,wealth_quintile_middle_quintile_pc,60.04
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,wealth quintile,NA,wealth_quintile_richer_quintile_pc,12.72
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,wealth quintile,NA,wealth_quintile_richest_quintile_pc,0.4
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,house_quality_most_adequate_count,5
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,house_quality_adequate_count,374
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,house_quality_moderate_count,121
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,house_quality_inadequate_count,3
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,house_quality_least_adequate_count,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,house_quality_most_adequate_pc,0.99
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,house_quality_adequate_pc,74.35
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,house_quality_moderate_pc,24.06
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,house_quality_inadequate_pc,0.6
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,1,housing,NA,house_quality_least_adequate_pc,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,demographics,NA,total_households,473
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,home_ownership_owned,466
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,home_ownership_rented,5
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,home_ownership_institutional,2
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,home_ownership_other,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,foundation_mud,338
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,foundation_mud_bonded_bricks_stone,98
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,foundation_cement_bonded_bricks_stone,32
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,foundation_reinforced_cement_concrete_with_pillars,4
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,foundation_wooden_pillars,1
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,housing,NA,outer_wall_mud_bonded_bricks_stone,276
