province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,total_households,home_ownership_owned,home_ownership_rented,home_ownership_institutional,home_ownership_other,foundation_mud,foundation_mud_bonded_bricks_stone,foundation_cement_bonded_bricks_stone,foundation_reinforced_cement_concrete_with_pillars,foundation_wooden_pillars,outer_wall_mud_bonded_bricks_stone,outer_wall_cement_bonded_bricks_stone,outer_wall_wood_planks,outer_wall_bamboo,outer_wall_unbaked_bricks,outer_wall_galvanised_sheet,outer_wall_prefabricated_sheet,outer_wall_other,roof_galvanised_sheet,roof_reinforced_cement_concrete,roof_thatch_straw,roof_tile,roof_stone_slate,roof_wood_planks,roof_mud,roof_other,floor_mud,floor_wooden_plank_bamboo,floor_bricks_stone,floor_ceramic_tile,floor_cemented,floor_other,drinking_water_tap_piped_within_premises,drinking_water_tap_piped_outside_premises,drinking_water_tubewell_handpump,drinking_water_covered_well_kuwa,drinking_water_uncovered_well_kuwa,drinking_water_spout_water,drinking_water_river_stream,drinking_water_jar_bottle,drinking_water_other,cooking_fuel_wood_firewood,cooking_fuel_lpg,cooking_fuel_electricity,cooking_fuel_cowdung,cooking_fuel_biogas,cooking_fuel_kerosene,cooking_fuel_other,lighting_electricity,lighting_solar,lighting_kerosene,lighting_biogas,lighting_other,toilet_flush_public_sewerage,toilet_flush_septic_tank,toilet_pit,toilet_public,toilet_no_toilet,hh_amenities_without,hh_amenities_at_least_one,hh_amenities_radio,hh_amenities_television,hh_amenities_landline,hh_amenities_mobile_phone_ordinary,hh_amenities_mobile_phone_smart,hh_amenities_computer_laptop,hh_amenities_internet,hh_amenities_car_jeep_van,hh_amenities_motorcycle_scooter,hh_amenities_bicycle,hh_amenities_electric_fan,hh_amenities_refridgerator,hh_amenities_washing_machine,hh_amenities_air_conditioner,wealth_quintile_poorest_quintile_count,wealth_quintile_poorer_quintile_count,wealth_quintile_middle_quintile_count,wealth_quintile_richer_quintile_count,wealth_quintile_richest_quintile_count,wealth_quintile_poorest_quintile_pc,wealth_quintile_poorer_quintile_pc,wealth_quintile_middle_quintile_pc,wealth_quintile_richer_quintile_pc,wealth_quintile_richest_quintile_pc,house_quality_most_adequate_count,house_quality_adequate_count,house_quality_moderate_count,house_quality_inadequate_count,house_quality_least_adequate_count,house_quality_most_adequate_pc,house_quality_adequate_pc,house_quality_moderate_pc,house_quality_inadequate_pc,house_quality_least_adequate_pc
Bagmati,Sindhupalchok,Sunkoshi,NP03,NP0323,NP0323407,4451,4393,50,5,3,1482,2298,618,36,17,1320,3042,17,7,4,58,0,3,3056,1344,9,3,32,3,0,4,1002,126,13,21,3270,19,1133,2965,0,18,90,224,19,0,2,3867,575,3,0,2,4,0,4414,24,6,0,7,15,3761,653,5,17,296,4155,2117,2367,47,3587,2304,285,251,49,429,18,604,569,9,2,466,826,2310,679,170,10.47,18.56,51.9,15.25,3.82,403,3006,1000,40,2,9.05,67.54,22.47,0.9,0.04
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2038,1792,143,67,36,529,723,499,260,27,383,1149,261,14,10,201,8,12,1294,678,17,15,11,19,0,4,510,339,20,28,1132,9,1080,699,0,2,15,196,24,0,22,814,1211,13,0,0,0,0,1951,47,35,1,4,11,784,1183,33,27,248,1790,429,1028,313,1540,1348,280,614,167,458,170,255,381,126,73,357,355,518,431,377,17.52,17.42,25.42,21.15,18.5,543,693,590,207,5,26.64,34,28.95,10.16,0.25
Bagmati,Rasuwa,Aamachhodingmo,NP03,NP0329,NP0329401,1664,1619,29,12,4,939,478,137,97,13,758,501,327,7,0,65,0,6,1392,166,3,1,1,97,0,4,342,756,4,0,534,28,308,1127,0,0,1,213,15,0,0,1362,296,0,0,2,2,2,1583,37,3,0,41,25,1419,114,9,97,289,1375,470,570,15,1115,1062,67,353,18,233,10,22,66,4,0,434,525,491,168,46,26.08,31.55,29.51,10.1,2.76,132,550,878,99,5,7.93,33.05,52.76,5.95,0.3
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2188,2160,22,3,3,488,1329,333,35,3,461,1504,10,6,4,203,0,0,1560,615,5,0,3,4,0,1,402,39,16,5,1714,12,779,1270,0,6,25,101,5,0,2,1336,835,3,0,13,1,0,2118,59,4,1,6,1,1445,625,1,116,100,2088,738,1028,19,1857,1343,168,679,26,305,44,417,286,8,2,281,253,802,609,243,12.84,11.56,36.65,27.83,11.11,536,1110,483,59,0,24.5,50.73,22.07,2.7,0
Bagmati,Rasuwa,Kalika,NP03,NP0329,NP0329404,2447,2409,33,4,1,595,1288,546,14,4,584,1820,9,1,0,32,0,1,1524,906,3,0,13,0,0,1,576,53,32,6,1775,5,1623,794,0,1,27,0,1,0,1,1665,776,0,0,4,0,2,2416,24,6,0,1,54,2286,98,1,8,130,2317,1028,1058,56,2074,1666,338,747,51,384,71,214,250,9,0,258,318,949,588,334,10.54,13,38.78,24.03,13.65,656,1278,507,6,0,26.81,52.23,20.72,0.25,0
Bagmati,Rasuwa,Naukunda,NP03,NP0329,NP0329405,2794,2772,16,4,2,1891,626,262,15,0,1877,872,4,0,1,40,0,0,2341,440,2,0,10,1,0,0,1646,66,42,11,1024,5,345,2410,0,1,10,27,1,0,0,2388,399,1,0,6,0,0,2767,19,2,2,4,43,1551,1148,15,37,308,2486,966,540,9,2293,1784,47,69,9,131,29,53,47,1,2,895,956,707,214,22,32.03,34.22,25.3,7.66,0.79,175,858,1745,16,0,6.26,30.71,62.46,0.57,0
Bagmati,Dhading,Rubi Valley,NP03,NP0330,NP0330401,2649,2632,6,0,11,1914,726,1,8,0,1895,724,27,0,0,3,0,0,2545,54,3,3,39,4,0,1,1337,736,19,10,541,6,1026,1232,4,3,15,364,1,1,3,2595,50,0,0,3,0,1,2425,224,0,0,0,78,1782,488,4,297,657,1992,196,253,16,1842,1294,11,185,5,22,3,3,5,2,2,1199,782,651,16,1,45.26,29.52,24.58,0.6,0.04,8,656,1883,102,0,0.3,24.76,71.08,3.85,0
Bagmati,Dhading,Khaniyabas,NP03,NP0330,NP0330403,2685,2657,20,4,4,1947,704,26,7,1,2217,455,8,0,0,4,0,1,2564,97,1,2,21,0,0,0,1742,45,3,2,879,14,1305,1363,4,0,8,0,3,1,1,2556,126,1,0,2,0,0,2641,32,6,0,6,63,2523,68,0,31,469,2216,209,830,11,1960,1585,37,66,6,58,1,33,42,0,2,670,1250,657,93,15,24.95,46.55,24.47,3.46,0.56,76,862,1743,3,1,2.83,32.1,64.92,0.11,0.04
Bagmati,Dhading,Ganga Jamuna,NP03,NP0330,NP0330402,5264,5198,52,7,7,3073,2033,115,36,7,3537,1653,21,13,2,27,7,4,4979,253,4,0,23,5,0,0,1447,68,33,16,3678,22,576,3956,7,3,44,662,10,0,6,4491,714,6,0,47,5,1,4964,258,9,1,32,84,1174,3864,10,132,338,4926,2019,2299,46,4385,3018,87,1872,31,158,39,279,158,3,5,795,1880,2007,551,31,15.1,35.71,38.13,10.47,0.59,121,2340,2551,250,2,2.3,44.45,48.46,4.75,0.04
Bagmati,Dhading,Tripurasundari,NP03,NP0330,NP0330404,5947,5797,128,10,12,1807,3316,681,138,5,1565,4143,46,26,3,146,17,1,4294,1583,9,4,51,6,0,0,1052,103,105,23,4644,20,2956,2373,14,2,160,416,24,0,2,3440,2383,33,0,90,1,0,5885,36,8,0,18,173,3370,2338,9,57,250,5697,1695,3918,89,4969,3990,246,1037,78,791,296,2224,1098,28,10,411,971,2414,1652,499,6.91,16.33,40.59,27.78,8.39,1438,3077,1352,78,2,24.18,51.74,22.73,1.31,0.03
Bagmati,Dhading,Netrawati Dabjong,NP03,NP0330,NP0330405,3263,3185,52,5,21,1631,1437,165,23,7,1447,1669,10,4,3,123,0,7,2831,401,4,2,19,3,0,3,836,46,14,17,2332,18,1494,1645,6,2,24,87,0,0,5,2516,741,0,0,4,0,2,3212,37,10,1,3,107,2216,908,3,29,244,3019,998,1552,17,2592,1341,73,70,33,152,17,92,116,2,1,533,879,1404,394,53,16.33,26.94,43.03,12.07,1.62,379,1801,1055,23,5,11.62,55.19,32.33,0.7,0.15
Bagmati,Dhading,Nilkhantha,NP03,NP0330,NP0330301,16391,13979,2220,136,56,5436,6520,4252,142,41,5091,11024,64,12,9,151,13,27,9152,6587,43,8,584,12,0,5,3082,243,168,192,12591,115,7127,6827,79,50,345,1858,58,10,37,7585,8457,33,1,277,29,9,16202,114,33,1,41,162,13038,2940,21,230,781,15610,5338,9357,688,12569,10570,1841,5589,289,2662,652,6396,3252,310,68,1660,2674,4806,4235,3016,10.13,16.31,29.32,25.84,18.4,6164,6450,3472,301,4,37.61,39.35,21.18,1.84,0.02
Bagmati,Dhading,Jwalamukhi,NP03,NP0330,NP0330406,6079,6016,55,4,4,3810,1653,555,56,5,3625,2361,31,15,3,42,0,2,4403,971,12,1,683,8,0,1,2828,106,160,19,2921,45,1848,2352,21,51,164,1536,36,62,9,3749,1955,14,0,343,14,4,5977,76,17,0,9,118,4057,1822,16,66,327,5752,2322,3143,26,4894,3066,190,499,47,611,124,911,331,1,5,1296,1833,1937,876,137,21.32,30.15,31.86,14.41,2.25,733,2211,2585,549,1,12.06,36.37,42.52,9.03,0.02
Bagmati,Dhading,Siddhalek,NP03,NP0330,NP0330407,5836,5758,59,8,11,2903,2409,484,35,5,2606,3106,17,11,8,25,0,63,3548,1389,9,4,878,6,0,2,1803,124,22,18,3787,82,1417,3370,18,54,86,851,37,2,1,3619,2040,17,5,106,47,2,5700,109,14,0,13,54,3317,2381,9,75,285,5551,2608,2667,61,4933,3204,210,1064,66,769,383,1762,691,8,4,1072,1319,1916,1212,317,18.37,22.6,32.83,20.77,5.43,868,2591,2183,193,1,14.87,44.4,37.41,3.31,0.02
Bagmati,Dhading,Benighat Rorang,NP03,NP0330,NP0330408,7601,6864,669,36,32,4141,1935,1355,140,30,4051,3304,117,38,5,41,0,45,5298,1916,118,17,240,8,0,4,3905,161,59,55,3400,21,1738,4640,14,117,243,773,69,2,5,4532,2984,22,0,53,4,6,6506,850,54,4,187,125,5008,2007,41,420,865,6736,2024,2934,134,5470,4217,478,1291,123,1021,309,2238,1297,137,14,2568,1467,1287,1359,920,33.79,19.3,16.93,17.88,12.1,1858,1754,3550,401,38,24.44,23.08,46.7,5.28,0.5
