province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,theme,variable,value
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,wealth quintile,wealth_quintile_poorest_quintile_count,1308
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,wealth quintile,wealth_quintile_poorer_quintile_count,1841
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,wealth quintile,wealth_quintile_middle_quintile_count,1191
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,wealth quintile,wealth_quintile_richer_quintile_count,338
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,wealth quintile,wealth_quintile_richest_quintile_count,69
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,wealth quintile,wealth_quintile_poorest_quintile_pc,27.55
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,wealth quintile,wealth_quintile_poorer_quintile_pc,38.78
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,wealth quintile,wealth_quintile_middle_quintile_pc,25.09
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,wealth quintile,wealth_quintile_richer_quintile_pc,7.12
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,wealth quintile,wealth_quintile_richest_quintile_pc,1.45
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,house_quality_most_adequate_count,302
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,house_quality_adequate_count,1653
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,house_quality_moderate_count,2714
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,house_quality_inadequate_count,75
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,house_quality_least_adequate_count,3
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,house_quality_most_adequate_pc,6.36
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,house_quality_adequate_pc,34.82
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,house_quality_moderate_pc,57.17
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,house_quality_inadequate_pc,1.58
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,housing,house_quality_least_adequate_pc,0.06
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,demographics,total_households,6151
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,home_ownership_owned,6018
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,home_ownership_rented,111
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,home_ownership_institutional,10
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,home_ownership_other,12
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,foundation_mud,3997
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,foundation_mud_bonded_bricks_stone,1807
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,foundation_cement_bonded_bricks_stone,228
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,foundation_reinforced_cement_concrete_with_pillars,100
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,foundation_wooden_pillars,19
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,outer_wall_mud_bonded_bricks_stone,4026
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,outer_wall_cement_bonded_bricks_stone,1903
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,outer_wall_wood_planks,105
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,outer_wall_bamboo,5
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,outer_wall_unbaked_bricks,0
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,outer_wall_galvanised_sheet,104
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,outer_wall_prefabricated_sheet,5
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,outer_wall_other,3
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,roof_galvanised_sheet,5616
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,roof_reinforced_cement_concrete,471
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,roof_thatch_straw,8
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,roof_tile,2
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,roof_stone_slate,45
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,roof_wood_planks,7
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,roof_mud,0
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,roof_other,2
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,floor_mud,3439
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,floor_wooden_plank_bamboo,137
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,floor_bricks_stone,44
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,floor_ceramic_tile,12
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,floor_cemented,2482
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,housing,floor_other,37
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,drinking water,drinking_water_tap_piped_within_premises,2809
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,drinking water,drinking_water_tap_piped_outside_premises,2901
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,drinking water,drinking_water_tubewell_handpump,0
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,drinking water,drinking_water_covered_well_kuwa,1
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,drinking water,drinking_water_uncovered_well_kuwa,69
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,drinking water,drinking_water_spout_water,355
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,drinking water,drinking_water_river_stream,14
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,drinking water,drinking_water_jar_bottle,0
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,drinking water,drinking_water_other,2
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,cooking fuel,cooking_fuel_wood_firewood,5522
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,cooking fuel,cooking_fuel_lpg,612
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,cooking fuel,cooking_fuel_electricity,0
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,cooking fuel,cooking_fuel_cowdung,0
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,cooking fuel,cooking_fuel_biogas,16
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,cooking fuel,cooking_fuel_kerosene,1
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,cooking fuel,cooking_fuel_other,0
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,lighting fuel,lighting_electricity,6008
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,lighting fuel,lighting_solar,135
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,lighting fuel,lighting_kerosene,2
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,lighting fuel,lighting_biogas,0
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,lighting fuel,lighting_other,6
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,sanitation,toilet_flush_public_sewerage,39
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,sanitation,toilet_flush_septic_tank,5019
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,sanitation,toilet_pit,1048
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,sanitation,toilet_public,8
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,sanitation,toilet_no_toilet,37
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,household amenities,hh_amenities_without,518
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,household amenities,hh_amenities_at_least_one,5633
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,household amenities,hh_amenities_radio,3505
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,household amenities,hh_amenities_television,2794
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,household amenities,hh_amenities_landline,55
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,household amenities,hh_amenities_mobile_phone_ordinary,4809
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,household amenities,hh_amenities_mobile_phone_smart,2812
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,household amenities,hh_amenities_computer_laptop,200
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,household amenities,hh_amenities_internet,410
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,household amenities,hh_amenities_car_jeep_van,28
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,household amenities,hh_amenities_motorcycle_scooter,257
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,household amenities,hh_amenities_bicycle,43
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,household amenities,hh_amenities_electric_fan,168
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,household amenities,hh_amenities_refridgerator,169
Bagmati,Dolakha,Kalinchowk,NP03,NP0322,NP0322403,household amenities,hh_amenities_washing_machine,8
