province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,ward,affected,theme,disaggregation,variable,value
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,female,age_group_5_9,58
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,total,age_group_10_14,94
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,male,age_group_10_14,38
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,female,age_group_10_14,56
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,total,age_group_15_19,98
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,male,age_group_15_19,39
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,female,age_group_15_19,59
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,total,age_group_20_24,93
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,male,age_group_20_24,40
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,female,age_group_20_24,53
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,total,age_group_25_29,113
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,male,age_group_25_29,52
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,female,age_group_25_29,61
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,total,age_group_30_34,119
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,male,age_group_30_34,58
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,female,age_group_30_34,61
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,total,age_group_35_39,103
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,male,age_group_35_39,46
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,female,age_group_35_39,57
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,total,age_group_40_44,69
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,male,age_group_40_44,35
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,female,age_group_40_44,34
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,total,age_group_45_49,56
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,male,age_group_45_49,23
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,2,affected,population projections 2026,female,age_group_45_49,33
