province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,theme,variable,value
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,school attendance,currently_attending_school_male_pc,93.05
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,school attendance,currently_attending_school_female_pc,94.42
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,school attendance,oos_ever_attended_school_total_pc,4.46
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,school attendance,oos_ever_attended_school_male_pc,5.27
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,school attendance,oos_ever_attended_school_female_pc,3.59
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,school attendance,oos_never_attended_school_total_pc,1.77
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,school attendance,oos_never_attended_school_male_pc,1.57
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,school attendance,oos_never_attended_school_female_pc,1.99
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,adult literacy,population_15plus_total,12033
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,adult literacy,population_15plus_male,5848
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,adult literacy,population_15plus_female,6185
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,demographics,literate_population_total,7722
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,demographics,literate_population_male,4333
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,demographics,literate_population_female,3389
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,adult literacy,literacy_rate_total,64.17
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,adult literacy,literacy_rate_male,74.09
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,adult literacy,literacy_rate_female,54.79
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,dependency ratios,population_0_14,3962
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,dependency ratios,population_15_64,10350
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,dependency ratios,population_65plus,1683
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,dependency ratios,child_dependency_ratio,38.28
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,dependency ratios,elderly_dependency_ratio,16.26
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,dependency ratios,total_dependency_ratio,54.54
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,education level,population_5plus_total,14854
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,education level,population_5plus_male,7264
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,education level,population_5plus_female,7590
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,adult literacy,education_level_illiterate_male,1552
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,adult literacy,education_level_illiterate_female,2843
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,education level,education_level_early_childhood_male,173
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,education level,education_level_early_childhood_female,161
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,education level,education_level_basic_level_male,3584
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,education level,education_level_basic_level_female,2822
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,education level,education_level_secondary_male,1598
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,education level,education_level_secondary_female,1350
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,education level,education_level_higher_education_male,185
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,education level,education_level_higher_education_female,142
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,education level,education_level_other_male,172
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,education level,education_level_other_female,272
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,adult literacy,education_level_illiterate_pc_total,29.59
